91,92,93,94,95,96;89,90,91,92,93,94,95,96,97,98,99,100,101,102
64,65,66,67,68,69,70,71,72,73,74;53,54,55,56,57,58,59,60,61,62,63
58,59,60,61,62;92,93,94,95,96,97,98,99,100,101
57,58,59,60,61,62,63,64,65,66,67,68,69,70;87,88,89,90,91,92,93,94,95,96,97,98
64,65,66,67,68,69,70;91,92,93,94,95,96,97,98,99,100,101,102,103
1,2,3,4;3,4,5,6
91,92,93,94,95,96,97,98,99,100,101;94,95,96,97,98,99,100,101
52,53,54,55,56,57;88,89,90,91,92,93,94,95
61,62,63,64,65,66,67,68,69;73,74,75,76,77
54,55,56,57,58,59,60;64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
9,10,11;33,34,35
57,58,59,60,61,62,63,64,65,66,67;83,84,85,86,87
53,54,55,56,57,58,59,60,61,62,63;79,80,81,82,83,84,85,86
20,25,36,45,89;25,36,77,88,98
67,68,69,70,71;98,99,100,101,102,103,104,105,106,107,108,109,110
98,99,100,101,102,103,104,105,106,107,108,109,110,111;77,78,79,80,81,82,83
9,10,11;11,12,13
92,93,94,95,96,97,98,99,100;57,58,59,60,61,62,63,64,65,66,67,68,69,70
74,75,76,77,78,79,80,81,82,83;56,57,58,59,60,61,62,63,64
98,99,100,101,102,103,104;60,61,62,63,64,65,66,67,68
